セクター,コード,銘柄名,社名
薬品,4151,協和キリン,協和キリン（株）
薬品,4502,武田,武田薬品工業（株）
薬品,4503,アステラス,アステラス製薬（株）
薬品,4506,住友ファーマ,住友ファーマ（株）
薬品,4507,塩野義,塩野義製薬（株）
薬品,4519,中外薬,中外製薬（株）
薬品,4523,エーザイ,エーザイ（株）
薬品,4568,第一三共,第一三共（株）
薬品,4578,大塚ＨＤ,大塚ホールディングス（株）
電気機器,4062,イビデン,イビデン（株）
電気機器,6479,ミネベア,ミネベアミツミ（株）
電気機器,6501,日立,（株）日立製作所
電気機器,6503,三菱電,三菱電機（株）
電気機器,6504,富士電機,富士電機（株）
電気機器,6506,安川電,（株）安川電機
電気機器,6526,ソシオネクス,（株）ソシオネクスト
電気機器,6645,オムロン,オムロン（株）
電気機器,6674,ＧＳユアサ,（株）ジーエス・ユアサ　コーポレーション
電気機器,6701,ＮＥＣ,日本電気（株）
電気機器,6702,富士通,富士通（株）
電気機器,6723,ルネサス,ルネサスエレクトロニクス（株）
電気機器,6724,エプソン,セイコーエプソン（株）
電気機器,6752,パナＨＤ,パナソニック　ホールディングス（株）
電気機器,6753,シャープ,シャープ（株）
電気機器,6758,ソニーＧ,ソニーグループ（株）
電気機器,6762,ＴＤＫ,ＴＤＫ（株）
電気機器,6770,アルプスアル,アルプスアルパイン（株）
電気機器,6841,横河電,横河電機（株）
電気機器,6857,アドテスト,（株）アドバンテスト
電気機器,6861,キーエンス,（株）キーエンス
電気機器,6902,デンソー,（株）デンソー
電気機器,6920,レーザーテク,レーザーテック（株）
電気機器,6952,カシオ,カシオ計算機（株）
電気機器,6954,ファナック,ファナック（株）
電気機器,6963,ローム,ローム（株）
電気機器,6971,京セラ,京セラ（株）
電気機器,6976,太陽誘電,太陽誘電（株）
電気機器,6981,村田製,（株）村田製作所
電気機器,7735,スクリン,（株）ＳＣＲＥＥＮホールディングス
電気機器,7751,キヤノン,キヤノン（株）
電気機器,7752,リコー,（株）リコー
電気機器,8035,東エレク,東京エレクトロン（株）
自動車,7201,日産自,日産自動車（株）
自動車,7202,いすゞ,いすゞ自動車（株）
自動車,7203,トヨタ,トヨタ自動車（株）
自動車,7205,日野自,日野自動車（株）
自動車,7211,三菱自,三菱自動車工業（株）
自動車,7261,マツダ,マツダ（株）
自動車,7267,ホンダ,本田技研工業（株）
自動車,7269,スズキ,スズキ（株）
自動車,7270,ＳＵＢＡＲＵ,（株）ＳＵＢＡＲＵ
自動車,7272,ヤマハ発,ヤマハ発動機（株）
精密機器,4543,テルモ,テルモ（株）
精密機器,4902,コニカミノル,コニカミノルタ（株）
精密機器,6146,ディスコ,（株）ディスコ
精密機器,7731,ニコン,（株）ニコン
精密機器,7733,オリンパス,オリンパス（株）
精密機器,7741,ＨＯＹＡ,ＨＯＹＡ（株）
通信,9432,ＮＴＴ,ＮＴＴ（株）
通信,9433,ＫＤＤＩ,ＫＤＤＩ（株）
通信,9434,ＳＢ,ソフトバンク（株）
通信,9984,ＳＢＧ,ソフトバンクグループ（株）
銀行,5831,しずおかＦＧ,（株）しずおかフィナンシャルグループ
銀行,7186,横浜ＦＧ,（株）横浜フィナンシャルグループ
銀行,8304,あおぞら銀,（株）あおぞら銀行
銀行,8306,三菱ＵＦＪ,（株）三菱ＵＦＪフィナンシャル・グループ
銀行,8308,りそなＨＤ,（株）りそなホールディングス
銀行,8309,三井住友トラ,三井住友トラストグループ（株）
銀行,8316,三井住友ＦＧ,（株）三井住友フィナンシャルグループ
銀行,8331,千葉銀,（株）千葉銀行
銀行,8354,ふくおかＦＧ,（株）ふくおかフィナンシャルグループ
銀行,8411,みずほＦＧ,（株）みずほフィナンシャルグループ
その他金融,8253,クレセゾン,（株）クレディセゾン
その他金融,8591,オリックス,オリックス（株）
その他金融,8697,日本取引所,（株）日本取引所グループ
証券,8601,大和,（株）大和証券グループ本社
証券,8604,野村,野村ホールディングス（株）
保険,8630,ＳＯＭＰＯ,ＳＯＭＰＯホールディングス（株）
保険,8725,ＭＳ＆ＡＤ,ＭＳ＆ＡＤインシュアランスグループホールディングス（株）
保険,8750,第一生命ＨＤ,第一生命ホールディングス（株）
保険,8766,東京海上,東京海上ホールディングス（株）
保険,8795,Ｔ＆Ｄ,（株）Ｔ＆Ｄホールディングス
水産,1332,ニッスイ,（株）ニッスイ
食品,2002,日清粉Ｇ,（株）日清製粉グループ本社
食品,2269,明治ＨＤ,明治ホールディングス（株）
食品,2282,日ハム,日本ハム（株）
食品,2501,サッポロＨＤ,サッポロホールディングス（株）
食品,2502,アサヒ,アサヒグループホールディングス（株）
食品,2503,キリンＨＤ,キリンホールディングス（株）
食品,2801,キッコマン,キッコーマン（株）
食品,2802,味の素,味の素（株）
食品,2871,ニチレイ,（株）ニチレイ
食品,2914,ＪＴ,日本たばこ産業（株）
小売業,3086,Ｊフロント,Ｊ．フロント　リテイリング（株）
小売業,3092,ＺＯＺＯ,（株）ＺＯＺＯ
小売業,3099,三越伊勢丹,（株）三越伊勢丹ホールディングス
小売業,3382,セブン＆アイ,（株）セブン＆アイ・ホールディングス
小売業,7453,良品計画,（株）良品計画
小売業,8233,高島屋,（株）高島屋
小売業,8252,丸井Ｇ,（株）丸井グループ
小売業,8267,イオン,イオン（株）
小売業,9843,ニトリＨＤ,（株）ニトリホールディングス
小売業,9983,ファストリ,（株）ファーストリテイリング
サービス,2413,エムスリー,エムスリー（株）
サービス,2432,ディーエヌエ,（株）ディー・エヌ・エー
サービス,3659,ネクソン,（株）ネクソン
サービス,3697,ＳＨＩＦＴ,（株）ＳＨＩＦＴ
サービス,4307,野村総研,（株）野村総合研究所
サービス,4324,電通グループ,（株）電通グループ
サービス,4385,メルカリ,（株）メルカリ
サービス,4661,ＯＬＣ,（株）オリエンタルランド
サービス,4689,ラインヤフー,ＬＩＮＥヤフー（株）
サービス,4704,トレンド,トレンドマイクロ（株）
サービス,4751,サイバー,（株）サイバーエージェント
サービス,4755,楽天グループ,楽天グループ（株）
サービス,6098,リクルート,（株）リクルートホールディングス
サービス,6178,日本郵政,日本郵政（株）
サービス,6532,ベイカレント,（株）ベイカレント
サービス,7974,任天堂,任天堂（株）
サービス,9602,東宝,東宝（株）
サービス,9735,セコム,セコム（株）
サービス,9766,コナミＧ,コナミグループ（株）
鉱業,1605,ＩＮＰＥＸ,（株）ＩＮＰＥＸ
繊維,3401,帝人,帝人（株）
繊維,3402,東レ,東レ（株）
パルプ・紙,3861,王子ＨＤ,王子ホールディングス（株）
化学,3405,クラレ,（株）クラレ
化学,3407,旭化成,旭化成（株）
化学,4004,レゾナック,（株）レゾナック・ホールディングス
化学,4005,住友化,住友化学（株）
化学,4021,日産化,日産化学（株）
化学,4042,東ソー,東ソー（株）
化学,4043,トクヤマ,（株）トクヤマ
化学,4061,デンカ,デンカ（株）
化学,4063,信越化,信越化学工業（株）
化学,4183,三井化学,三井化学（株）
化学,4188,三菱ケミＧ,三菱ケミカルグループ（株）
化学,4208,ＵＢＥ,ＵＢＥ（株）
化学,4452,花王,花王（株）
化学,4901,富士フイルム,富士フイルムホールディングス（株）
化学,4911,資生堂,（株）資生堂
化学,6988,日東電,日東電工（株）
石油,5019,出光興産,出光興産（株）
石油,5020,ＥＮＥＯＳ,ＥＮＥＯＳホールディングス（株）
ゴム,5101,浜ゴム,横浜ゴム（株）
ゴム,5108,ブリヂストン,（株）ブリヂストン
窯業,5201,ＡＧＣ,ＡＧＣ（株）
窯業,5214,日電硝,日本電気硝子（株）
窯業,5233,太平洋セメ,太平洋セメント（株）
窯業,5301,東海カーボン,東海カーボン（株）
窯業,5332,ＴＯＴＯ,ＴＯＴＯ（株）
窯業,5333,ガイシ,日本碍子（株）
鉄鋼,5401,日本製鉄,日本製鉄（株）
鉄鋼,5406,神戸鋼,（株）神戸製鋼所
鉄鋼,5411,ＪＦＥ,ＪＦＥホールディングス（株）
非鉄・金属,3436,ＳＵＭＣＯ,（株）ＳＵＭＣＯ
非鉄・金属,5706,三井金属,三井金属（株）
非鉄・金属,5711,三菱マ,三菱マテリアル（株）
非鉄・金属,5713,住友鉱,住友金属鉱山（株）
非鉄・金属,5714,ＤＯＷＡ,ＤＯＷＡホールディングス（株）
非鉄・金属,5801,古河電,古河電気工業（株）
非鉄・金属,5802,住友電,住友電気工業（株）
非鉄・金属,5803,フジクラ,（株）フジクラ
商社,2768,双日,双日（株）
商社,8001,伊藤忠,伊藤忠商事（株）
商社,8002,丸紅,丸紅（株）
商社,8015,豊田通商,豊田通商（株）
商社,8031,三井物,三井物産（株）
商社,8053,住友商,住友商事（株）
商社,8058,三菱商,三菱商事（株）
建設,1721,コムシスＨＤ,コムシスホールディングス（株）
建設,1801,大成建,大成建設（株）
建設,1802,大林組,（株）大林組
建設,1803,清水建,清水建設（株）
建設,1808,長谷工,（株）長谷工コーポレーション
建設,1812,鹿島,鹿島建設（株）
建設,1925,ハウス,大和ハウス工業（株）
建設,1928,積ハウス,積水ハウス（株）
建設,1963,日揮ＨＤ,日揮ホールディングス（株）
機械,5631,日製鋼,（株）日本製鋼所
機械,6103,オークマ,オークマ（株）
機械,6113,アマダ,（株）アマダ
機械,6273,ＳＭＣ,ＳＭＣ（株）
機械,6301,コマツ,（株）小松製作所
機械,6302,住友重,住友重機械工業（株）
機械,6305,日立建機,日立建機（株）
機械,6326,クボタ,（株）クボタ
機械,6361,荏原,（株）荏原製作所
機械,6367,ダイキン,ダイキン工業（株）
機械,6471,日精工,日本精工（株）
機械,6472,ＮＴＮ,ＮＴＮ（株）
機械,6473,ジェイテクト,（株）ジェイテクト
機械,7004,カナデビア,カナデビア（株）
機械,7011,三菱重,三菱重工業（株）
機械,7013,ＩＨＩ,（株）ＩＨＩ
造船,7012,川重,川崎重工業（株）
その他製造,7832,バンナムＨＤ,（株）バンダイナムコホールディングス
その他製造,7911,ＴＯＰＰＡＮ,ＴＯＰＰＡＮホールディングス（株）
その他製造,7912,大日印,大日本印刷（株）
その他製造,7951,ヤマハ,ヤマハ（株）
不動産,3289,東急不ＨＤ,東急不動産ホールディングス（株）
不動産,8801,三井不,三井不動産（株）
不動産,8802,菱地所,三菱地所（株）
不動産,8804,東建物,東京建物（株）
不動産,8830,住友不,住友不動産（株）
鉄道・バス,9001,東武,東武鉄道（株）
鉄道・バス,9005,東急,東急（株）
鉄道・バス,9007,小田急,小田急電鉄（株）
鉄道・バス,9008,京王,京王電鉄（株）
鉄道・バス,9009,京成,京成電鉄（株）
鉄道・バス,9020,ＪＲ東日本,東日本旅客鉄道（株）
鉄道・バス,9021,ＪＲ西日本,西日本旅客鉄道（株）
鉄道・バス,9022,ＪＲ東海,東海旅客鉄道（株）
